name,title,status,logo
Geoff Ralston,Y Combinator President,TRUE,TRUE
Deepak Bagla,CEO & MD Invest India,TRUE,TRUE
Ranveer Chandra,"Microsoft CTO of Agri-Food, Managing Director of Research for Industry",TRUE,TRUE
Kunal Shah,Founder CRED,TRUE,TRUE
Aditya Ghosh,Co-Founder Akasa Air and Founder Homage,FALSE,TRUE
Rajiv Memani,"Chairman & Managing Partner, EY India",TRUE,TRUE
Krishnamurthy Subramanian,Former Chief Economic Advisor to the Government of India,TRUE,TRUE
Manish Malhotra,Fashion Designer & Entrepreneur,TRUE,TRUE
Leslie Coutterand,"French Actress, Model, Writer, Director",TRUE,FALSE
Tin Hang Liu,Founder & CEO Open Energy,TRUE,TRUE
Dr. Krishna Ella,"Founder, Chairman & Managing Director Bharat Biotech",FALSE,TRUE
Simon Allen,CEO McGraw Hill,TRUE,TRUE
Lesly Goh,Senior Technology Advisor and Former CTO of the World Bank,TRUE,TRUE
Bandana Tewari,"Former Vogue Editor-At-Large, Special Advisor to Copenhagen Fashion Summit",TRUE,TRUE
Miguel Soriano,Senior Upstream Officer at IFC,TRUE,TRUE
Masoom Minawala,Global Fashion Influencer and Entrepreneur,TRUE,TRUE
Chow Chung-Yan,Executive Editor of South China Morning Post,TRUE,TRUE
Michael Horvath,CEO STRAVA,TRUE,TRUE
Maria Siow,South China Morning Post Senior Asia Correspondent,TRUE,TRUE
Amitabh Mattoo,Padmashree Awardee & Prof. Disarmament Studies,TRUE,FALSE
Mark Tatum,COO and Deputy Commissioner of the NBA,TRUE,TRUE
Lisa Tatum,Founder & CEO Landit,TRUE,TRUE
Sowmay Jain,CEO & Founder of Instadapp,TRUE,TRUE
Debby Soo,CEO of Opentable,TRUE,TRUE
Pramod Varma,"CTO, EkStep",TRUE,TRUE
Parth J Shah,"Founder, Centre for Civil Society, Director, Indian School of Public Policy",TRUE,TRUE
Martin Roll,"Renowned Author, Brand Strategist, Management Consultant",TRUE,TRUE
Nicolo Santin,CEO & Co-founder Gamindo,TRUE,TRUE
Mina Hsiang,Administrator of United States Digital Service,TRUE,TRUE
